proposal_id,proposal_types,result,reduction_amount,freeze_amount,reason,description,frozen_status,frozen_history,frozen_report,budget_image_url,historical_proposals,historical_parent_proposal,merged_proposals,merged_parent_proposal,year,government_name,government_category,meetings,proposers,co_signers,budget_id,budget_project_name,budget_project_description,budget_major_category,budget_medium_category,budget_minor_category,budget_amount,last_synced_at
11624,減列,保留,4868355000,,"115年度交通部預算案於「交通部」編列預算486億8,355萬3千元。有鑑於馬祖大橋建設計畫長期以相同、相似理由駁回、搪塞綜合規劃案，造成計畫持續延宕、建設成本不斷提升，其他重要橋樑建設例如金門大橋、淡江大橋早已落成，顯示交通部於本案推動效率、力道皆過於低落，未能下定建設決心果斷決策，亦無視馬祖居民的強烈民意殷殷期盼；為監督交通部加強力道推動馬祖大橋進入細部設計階段，堅定提升離島居民觀光、生活圈永續發展之決心，爰減列該項預算48億6,835萬5千元。【3-1】",,,,,,,,,,115,交通部,交通部,2026/5/11,邱若華|黃健豪|陳雪生|陳清龍,,5466,,,交通部,,,48683353000,2026-06-13T14:59:36.472Z
11625,減列,保留,8100000,,"交通部編列之「辦理道安資訊查詢網更新維護費暨道安事故統計數據介接作業經費」，其設立初衷，應為精確掌握交通事故樣態、提供客觀科學的數據給民眾知悉。然而，檢視交通部道安事故統計方式，已淪為行政機關粉飾太平、操弄傷亡數字的工具。首先，交通部在死亡人數的數據統計上存在嚴重瑕疵。交通部先是對外宣稱自身統計的數據有誤差，指稱有五分之一的案件並非交通事故死亡，企圖藉由質疑自身舊有數據來為降低死亡人數鋪路。但荒謬的是，衛福部統計數據（2,426人），與衛福部實際公開公布的113年國人死因調查「機動車交通事故」死亡人數（2,737人），竟出現高達311條人命的巨大落差。交通部形同憑空發明了一套大幅低估死亡人數的新統計方法，且對其背後的計算邏輯與刪減依據避而不談。其次，交通部未來將竄改死亡判定標準。目前國際通用的道安統計標準為「30日內死亡」，但交通部卻對外宣佈，未來每月公布的死亡人數將大幅限縮，改採「24小時內死亡」為基準。未來的統計數據被官方刻意且嚴重地低估，無法及時反映台灣道路危險的真實社會現況。交通部面對台灣嚴峻的交通安全危機，不思如何妥善運用科學統計來面對問題、進而提出具體的防制計畫以降低傷亡，卻將心思與國家資源耗費在玩弄計算標準、想方設法降低帳面上的死亡數字。為避免道安資訊查詢網使用錯誤資訊誤導民眾，爰刪除經費810萬元。【61】",,,,,,,,,,115,交通部,交通部,2026/5/11,萬美玲|邱若華|劉書彬|陳清龍,,,,,,,,,2026-06-13T14:59:36.472Z
11626,減列、凍結,保留,28466000,28465500,"115年度交通部預算案於第3目「交通運輸規劃及產業發展」項下「道路交通安全」中「業務費」之「一般事務費」辦理交通安全相關媒體政策及業務宣導費編列預算9,488萬5千元。查交通部為推廣道路平權理念並達成道路交通安全之願景，年年投入鉅額預算進行媒體宣導。然而，檢視現行道安宣導內容，包含「路老師」之機車教案中，竟仍將「左轉兩段式」列為重點宣導主題。根據國立臺灣大學農業經濟學系研究團隊針對「機車兩段式左轉」政策進行之實證研究，取消機車兩段式左轉後，整體交通事故件數顯著下降約 21%，受傷人數下降約 19%，並推估可降低醫療支出約 4.7%。這項科學實證已明確指出強制機車兩段式左轉並非安全的行車方式。若交通部仍耗費高達近一億元之龐大公帑，繼續宣導此類已被學界證實無助於提升安全、甚至增加事故風險的舊思維，不僅與實踐「零死亡願景」的目標背道而馳，更使宣導流於浪費預算。為確保國家道安宣導資源符合科學實證並發揮實益，避免公帑用於宣傳錯誤或不合時宜之交通觀念，爰該項預算減列2,846萬6千元並凍結30%，俟交通部詳細說明如何依據最新科學與學術研究成果全面盤點並修正現有之道安宣導教材與媒體投放內容，以及宣導成效如何與「降低各重點族群交通事故死傷率」建立實質連動之量化檢核機制，並於3個月內向立法院交通委員會提出專案報告且經同意後，始得動支。【62】",,,,,,,,,,115,交通部,交通部,2026/5/11,邱若華|黃健豪|游顥,,5467,,,交通運輸規劃及產業發展,道路交通安全,業務費 > 一般事務費 > 辦理交通安全相關媒體政策及業務宣導費,94885000,2026-06-13T14:59:36.472Z
11627,減列,保留,10000000,,檢視交通部歷年來的媒體宣導內容，處處充滿對機車族的強烈歧視與刻板印象。這些政策宣導經常將機車騎士描繪成違規、愛鑽車縫或超速的亂源，並不斷放大「肉包鐵」的脆弱性。政府花費大筆經費大力推廣所謂的「防禦駕駛」，在實務運作上卻演變成一種雙重標準：當大車或汽車違規逼車、違停或未依規定讓車時，宣導的重點往往是要求機車族「遠離大車」、「自己要注意安全」，形同將閃避違規者的責任推卸到弱勢用路人身上。不但沒有針對真正具有高度致命殺傷力的大型動力機械駕駛進行嚴格究責與再教育，反而透過大眾媒體不斷向社會大眾營造「機車發生事故都是因為騎士自己不夠小心」的社會偏見。且宣導費長期被用來為交通部錯誤的「車種分流」政策背書。交通部不去落實國際通用的「車速分流」，反而利用媒體宣傳持續合理化強制機車兩段式左轉、禁行機車道等管理手段，將台灣數百萬仰賴機車通勤的基層民眾視為次等用路人，不僅拒絕提供安全、平權的道路環境，還拿人民的納稅錢來買廣告、做宣導，進一步剝奪機車族的合理路權並污名化其駕駛行為。該筆經費非用於解決道安沉痾，而是被用來正當化交通部的歧視性施政與掩飾工程規劃的失敗，爰刪除「強化機車駕駛人風險意識辦理主題性專案媒體政策及業務宣導費」經費1000萬元。【65】,,,,,,,,,,115,交通部,交通部,2026/5/11,萬美玲|邱若華|劉書彬|陳清龍,,,,,,,,,2026-06-13T14:59:36.472Z
11628,凍結,通過,,7910600,"115年度交通部預算「媒體政策及業務宣導費」編列7,910萬6千元，凍結十分之一，俟交通部於1個月內向立法院交通委員會提出書面報告後，始得動支。【4、5】",,,,,,,,,,115,交通部,交通部,2026/5/11,魯明哲|邱若華|黃健豪|陳雪生|陳清龍,,5468,,,媒體政策及業務宣導費,,,79106000,2026-06-13T14:59:36.472Z
11629,凍結,通過,,8019000,"115年度交通部預算「無人載具產業發展統籌型計畫」編列4,009萬5千元，凍結五分之一，俟交通部於1個月內向立法院交通委員會提出書面報告後，始得動支。【6-12】",,,,,,,,,,115,交通部,交通部,2026/5/11,魯明哲|黃健豪|陳素月|林俊憲|李昆澤|陳雪生|陳清龍,,5469,,,無人載具產業發展統籌型計畫,,,40095000,2026-06-13T14:59:36.472Z
11630,凍結,通過,,3480000,"115年度交通部預算第1目「交通科技研究發展」編列1,740萬元，凍結五分之一，俟交通部於1個月內向立法院交通委員會提出書面報告後，始得動支。【13-21】",,,,,,,,,,115,交通部,交通部,2026/5/11,洪孟楷|魯明哲|萬美玲|邱若華|黃健豪|何欣純|游顥|許智傑|徐富癸|陳雪生|陳清龍,,5470,,,交通科技研究發展,,,17400000,2026-06-13T14:59:36.472Z
11631,凍結,通過,,93005900,"115年度交通部預算第2目「一般行政」編列9億3,005萬9千元，凍結十分之一，俟交通部於1個月內向立法院交通委員會提出書面報告後，始得動支。【22-30】",,,,,,,,,,115,交通部,交通部,2026/5/11,洪孟楷|萬美玲|邱若華|黃健豪|游顥|陳雪生|陳清龍,,5471,,,一般行政,,,930059000,2026-06-13T14:59:36.472Z
11632,凍結,通過,,97314500,"115年度交通部預算第3目「交通運輸規劃及產業發展」編列9億7,314萬5千元，凍結十分之一，俟交通部於1個月內向立法院交通委員會提出書面報告後，始得動支。【31-60、63、64、66-86、88-102】",,,,,,,,,,115,交通部,交通部,2026/5/11,洪孟楷|魯明哲|萬美玲|邱若華|黃健豪|何欣純|陳素月|游顥|林俊憲|李昆澤|許智傑|徐富癸|陳雪生|伍麗華|林倩綺|陳清龍,,5472,,,交通運輸規劃及產業發展,,,973145000,2026-06-13T14:59:36.472Z
11633,凍結,通過,,50000000,"115年度交通部預算第4目「營業基金」編列308億5,650萬5千元，凍結5,000萬元，俟交通部於1個月內向立法院交通委員會提出書面報告後，始得動支。【103-112】",,,,,,,,,,115,交通部,交通部,2026/5/11,洪孟楷|魯明哲|萬美玲|邱若華|黃健豪|何欣純|陳素月|林俊憲|李昆澤|許智傑|徐富癸|陳雪生|伍麗華|林倩綺|陳清龍,,5473,,,營業基金,,,30856505000,2026-06-13T14:59:36.472Z
